,1,2,3,4
sentence-sentence-token-level/max_size_aux_verbs,2.1,3.1,4.1,30
sentence-sentence-token-level/max_size_passive,1.0,2.1,4.1,8.0
sentence-sentence-token-level/max_size_named_entities,3.2000803434108067,3.279184229846148,4.455313905665672,3.5
sentence-sentence-token-level/max_size_coordination,NA,NA,NA,NA
sentence-sentence-token-level/max_size_np_pp_modifiers,2.659484874866974,3.0210367892470864,3.207930254628204,3.5
sentence-sentence-token-level/max_size_subordination,23.464976315273383,27.121590832261568,31.639520700446646,80.0
document-document-token-level/total_token_ratio_aux_verbs,NA,NA,NA,NA
document-document-token-level/total_token_ratio_passive,0.0010156929928753131,0.0010718280642701852,0.004576184011433901,1.0
document-document-token-level/total_token_ratio_named_entities,NA,NA,NA,NA
document-document-token-level/total_token_ratio_coordination,NA,NA,NA,NA
document-document-token-level/total_token_ratio_subordination,NA,NA,NA,NA
document-document-token-level/ratio_clitic_pronouns_per_token,NA,NA,NA,NA
document-document-token-level/ratio_post_clitic_pronouns_per_token,NA,NA,NA,NA
document-document-token-level/ratio_pre_clitic_pronouns_per_token,NA,NA,NA,NA
document-document-token-level/ratio_named_entities_per_token,NA,NA,NA,NA
document-document-token-level/ratio_aux_verbs_per_token,NA,NA,NA,NA
document-document-token-level/ratio_subordination_per_token,NA,NA,NA,NA
document-document-token-level/ratio_passive_per_token,0.0004682690273818541,0.0005055618559769129,0.0021427608097424563,1.0
document-document-token-level/ratio_coordination_per_token,NA,NA,NA,NA
document-document-token-level/hapax_legomena_lemma_ratio,NA,NA,NA,NA
document-document-token-level/ratio_aux_verbs_per_verb,NA,NA,NA,NA
document-document-token-level/ratio_subordination_per_verb,NA,NA,NA,NA
document-document-token-level/ratio_passive_per_verb,0.005253711021476459,0.005443858008420459,0.024602628162545624,1.0
document-document-token-level/p0-p75_freq_ratio,0.059140913959743496,0.06813242274313812,0.07436144649584256,1.0
document-document-token-level/p0-p75_freq_lemma_ratio,0.07574711067933526,0.08748389249366846,0.09848340863881327,1.0
document-document-document-level/sentence_count,NA,NA,NA,NA
document-document-document-level/word_count,320.9760640166029,418.1505845866915,472.3879751285972,817.5
sentence-sentence-sentence-level/parse_depth,7.205934905502671,8.52971072378762,9.78864110978343,15.0
sentence-sentence-sentence-level/words_after_verb,23.51596868904744,33.027266438769786,39.352247121562584,47.5
sentence-sentence-sentence-level/words_before_verb,9.372573604397989,12.016200004603009,12.908703347411993,12.5
sentence-sentence-sentence-level/sentence_length,28.0548296845528,38.70379643148691,46.66402723340012,300.0
token-token-token-level-high/word_length,12.386599539642557,13.054516815100756,14.254429070160157,15.0
token-token-token-level-high/noun_modifier_depth,3.8930497837774216,3.5853819584454896,4.714705295840872,30.0
token-token-token-level-high/age_of_acquisition,8.975561975455488,9.785297537773559,10.077512597541894,13
token-token-token-level-high/ortho_neighbors,NA,NA,NA,NA
token-token-token-level-low/lexical_frequency,NA,NA,NA,NA
token-token-token-level-low/familiarity,NA,NA,NA,NA
